player_id,player_name,shoots,draft_team_name,experience,nba_debut,position_1,position_2,position_3,position_4,position_5,position_6,draft_year,height_cm,weight_kg,age,draft_round_pick_rank,draft_overall_pick_rank,career_points,career_total_rebound_pct,career_assists_pct,career_field_goal_pct,career_three_point_pct,career_free_throw_pct,career_effective_fg_pct,career_per,career_win_shares
schofad01,admiral schofield,right,philadelphia 76ers,4.0,2019,power forward,small forward,,,,,2019,196.0,109.0,28,12,42,,,,,,,,,
mathega01,garrison mathews,right,nba draft,6.0,2019,shooting guard,,,,,,2023,196.0,97.0,29,,,6.5,1.8,0.7,40.5,38.2,83.8,56.8,10.3,9.8
jamesju01,justin james,right,sacramento kings,2.0,2019,small forward,,,,,,2019,201.0,86.0,28,10,40,,,,,,,,,
mcdanja01,jalen mcdaniels,right,charlotte hornets,6.0,2019,small forward,,,,,,2019,206.0,93.0,27,22,52,6.7,3.3,1.2,44.9,32.2,77.7,51.1,11.0,5.3
langfro01,romeo langford,right,boston celtics,4.0,2019,shooting guard,,,,,,2019,196.0,98.0,26,14,14,,,,,,,,,
muldemy01,mychal mulder,right,nba draft,3.0,2020,point guard,small forward,,,,,2023,190.0,83.0,31,,,,,,,,,,,
toscaju01,juan toscano-anderson,right,nba draft,5.0,2020,small forward,shooting guard,,,,,2023,198.0,95.0,32,,,,,,,,,,,
claxtni01,nic claxton,left,brooklyn nets,6.0,2019,center,,,,,,2019,211.0,97.0,26,1,31,10.3,7.7,1.7,63.6,20.0,53.7,63.8,18.5,26.1
martije02,jeremiah martin,left,nba draft,,2020,point guard,,,,,,2023,190.0,84.0,29,,,,,,,,,,,
gabriwe01,wenyen gabriel,right,nba draft,5.0,2019,power forward,center,,,,,2023,206.0,93.0,28,,,,,,,,,,,
tuckera01,rayjon tucker,right,nba draft,3.0,2019,shooting guard,point guard,,,,,2023,190.0,95.0,28,,,,,,,,,,,
smailal01,alen smailagiä,right,new orleans pelicans,2.0,2019,power forward,center,,,,,2019,208.0,97.0,25,9,39,,,,,,,,,
coffeam01,amir coffey,left,nba draft,6.0,2019,shooting guard,small forward,,,,,2023,201.0,95.0,28,,,6.7,1.9,1.1,45.5,38.4,83.7,54.9,10.8,11.7
nowelja01,jaylen nowell,right,minnesota timberwolves,6.0,2019,shooting guard,,,,,,2019,193.0,91.0,26,13,43,8.9,2.2,1.9,44.2,31.6,79.2,50.4,13.6,4.7
pelleno01,norvel pelle,right,nba draft,3.0,2019,center,,,,,,2023,208.0,105.0,32,,,,,,,,,,,
antetth01,thanasis antetokounmpo,right,new york knicks,6.0,2016,small forward,power forward,,,,,2014,201.0,99.0,33,21,51,,,,,,,,,
konchjo01,john konchar,right,nba draft,6.0,2019,shooting guard,small forward,,,,,2023,196.0,95.0,29,,,4.2,4.0,1.4,46.9,36.1,72.7,56.3,12.5,13.8
waltode01,derrick walton,right,nba draft,,2017,point guard,,,,,,2023,183.0,86.0,30,,,,,,,,,,,
jeffrda01,daquan jeffries,right,nba draft,6.0,2019,shooting guard,,,,,,2023,196.0,104.0,28,,,4.6,2.1,0.8,41.5,31.5,78.3,50.2,8.1,1.1
kabenmf01,mfiondu kabengele,right,brooklyn nets,3.0,2019,power forward,center,,,,,2019,206.0,113.0,28,27,27,,,,,,,,,
poirivi01,vincent poirier,right,nba draft,,2019,center,,,,,,2023,213.0,106.0,32,,,,,,,,,,,
bolbo01,bol bol,right,miami heat,6.0,2020,power forward,,,,,,2019,221.0,100.0,26,14,44,6.2,3.5,0.6,54.5,33.2,74.9,59.8,15.5,5.0
watertr01,tremont waters,right,boston celtics,3.0,2019,point guard,,,,,,2019,178.0,79.0,27,21,51,,,,,,,,,
