,player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Last Season Games,Last Season Points,Last Season Total Rebound Percentage,Last Season Assists Percentage,Last Season Field Goal Percentage,Last Season 3pt Field Goal Percentage,Last Season TFree Throw Percentage,Last Season Effective Field Goal Percentage,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage
423,sprinja01,Jaden Springer,"Shooting Guard , Point Guard",Right,6-4,204,25,September,2002,Tennessee,43,2.5,1.3,0.8,43,2.5,1.3,0.8,4,110,2.9,1.4,0.8,40.9,23.8,77.3,45.3
424,craigto01,Torrey Craig,"Small Forward , Power Forward",Right,6-7,221,19,December,1990,"USC,Upstate",26,4.2,2.8,0.7,26,4.2,2.8,0.7,8,458,5.9,3.9,1.0,45.2,35.4,70.1,54.5
425,gibsota01,Taj Gibson,"Power Forward , Center",Right,6-9,232,24,June,1985,USC,37,2.9,3.2,0.6,37,2.9,3.2,0.6,16,1002,8.4,5.7,0.9,51.7,26.6,71.2,52.1
426,tshieos01,Oscar Tshiebwe,"Power Forward , Center",Right,6-9,260,27,November,1999,"West,Virginia",14,7.6,8.7,0.6,14,7.6,8.7,0.6,2,22,6.0,6.3,0.5,57.8,-,74.4,57.8
427,spencca01,Cam Spencer,Shooting Guard,Right,6-3,205,6,April,2000,"Loyola,(MD)",25,4.2,1.2,1.4,25,4.2,1.2,1.4,1,25,4.2,1.2,1.4,41.5,36.5,100.0,53.0
428,hoodsja01,Jalen Hood-Schifino,Shooting Guard,Right,6-6,215,19,June,2003,Indiana,15,7.1,1.8,2.5,15,7.1,1.8,2.5,2,36,3.9,1.1,1.3,32.9,26.2,73.2,38.5
429,reddica01,Cam Reddish,Small Forward,Right,6-8,218,1,September,1999,Duke,33,3.2,2.0,0.7,33,3.2,2.0,0.7,6,254,8.5,2.7,1.2,39.8,32.2,82.1,47.2
430,furphjo01,Johnny Furphy,Shooting Guard,Right,6-8,200,8,December,2004,Kansas,50,2.1,1.4,0.4,50,2.1,1.4,0.4,1,50,2.1,1.4,0.4,38.0,30.0,81.8,46.2
431,klebima01,Maxi Kleber,"Power Forward , Center",Right,6-10,240,29,January,1992,Colleges,34,3.0,2.8,1.3,34,3.0,2.8,1.3,8,440,6.4,4.4,1.2,44.3,35.4,77.6,55.2
432,spencpa01,Pat Spencer,Point Guard,Right,6-3,205,4,July,1996,"Loyola,(MD)",39,2.5,1.2,1.2,39,2.5,1.2,1.2,2,45,2.3,1.1,1.2,41.0,20.8,73.3,43.3
433,simsje01,Jericho Sims,"Center , Power Forward",Right,6-10,245,20,October,1998,Texas,53,1.8,3.7,0.6,53,1.8,3.7,0.6,4,191,2.4,4.0,0.5,71.4,0.0,58.5,71.4
434,mclaujo01,Jordan McLaughlin,Point Guard,Right,6-0,185,9,April,1996,USC,46,2.1,0.7,1.1,46,2.1,0.7,1.1,6,288,4.1,1.4,2.8,44.5,37.3,74.3,53.4
435,jemistr01,Trey Jemison,Center,Right,6-11,260,28,November,1999,Clemson,38,2.5,2.8,0.4,38,2.5,2.8,0.4,2,63,4.2,3.8,0.7,55.2,-,58.6,55.2
436,beekmre01,Reece Beekman,Point Guard,Right,6-1,190,8,October,2001,Virginia,36,2.6,1.1,1.8,36,2.6,1.1,1.8,1,36,2.6,1.1,1.8,32.7,17.5,76.2,36.0
437,kolokch01,Christian Koloko,Center,Right,7-1,230,20,June,2000,Arizona,37,2.4,2.5,0.4,37,2.4,2.5,0.4,2,95,2.9,2.8,0.5,51.9,6.3,64.4,52.1
438,robinmi01,Mitchell Robinson,Center,Right,7-0,240,1,April,1998,"Western,Kentucky",17,5.1,5.9,0.8,17,5.1,5.9,0.8,7,337,7.8,7.8,0.6,70.0,-,52.2,70.0
439,smithdr01,Dru Smith,Shooting Guard,Right,6-3,203,30,December,1997,"University,of,Evansville",14,6.2,2.6,1.6,14,6.2,2.6,1.6,3,38,4.5,1.9,1.6,46.0,42.4,82.4,56.1
440,quinole01,Lester Qui̱ones,Shooting Guard,Right,6-5,208,16,November,2000,Memphis,13,6.6,1.5,1.8,13,6.6,1.5,1.8,3,54,4.8,1.7,1.1,39.7,34.6,72.9,50.2
441,paytoel01,Elfrid Payton,Point Guard,Right,6-3,195,22,February,1994,Louisiana,24,3.5,3.3,6.9,24,3.5,3.3,6.9,9,524,9.8,4.0,5.8,44.4,28.6,62.3,46.4
442,leeda03,Damion Lee,Shooting Guard,Right,6-5,210,21,October,1992,Drexel,25,3.3,0.8,0.4,25,3.3,0.8,0.4,7,315,7.8,3.2,1.3,43.3,37.4,88.1,53.1
443,walshjo01,Jordan Walsh,"Small Forward , Power Forward",Right,6-7,205,3,March,2004,Arkansas,52,1.6,1.3,0.4,52,1.6,1.3,0.4,2,61,1.6,1.5,0.4,36.7,26.6,57.1,45.4
