player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Draft,Draft Team,Draf Pick,Experience,NBA Debut
architi01,Tiny Archibald,Point Guard,Left,6-1,150,2,September,1948,Arizona Western College,1970 NBA Draft,Cincinnati Royals,"2nd round (2nd pick, 19th overall)",,"October 14, 1970"
arcidry01,Ryan Arcidiacono,Point Guard,Right,6-3,195,26,March,1994,Villanova,,,,,"October 19, 2017"
ardji01,Jim Ard,Center,Right,6-8,215,19,September,1948,Cincinnati,1970 NBA Draft,Seattle SuperSonics,"1st round (6th pick, 6th overall)",,"October 18, 1974"
arizatr01,Trevor Ariza,"Small Forward, Shooting Guard",Right,6-8,215,30,June,1985,UCLA,2004 NBA Draft,New York Knicks,"2nd round (14th pick, 43rd overall)",,"November 3, 2004"
arizipa01,Paul Arizin,Small Forward,Right,6-4,190,9,April,1928,Villanova,1950 NBA Draft,Philadelphia Warriors,"1st round (3rd pick, 3rd overall), (territorial selection)",,"November 4, 1950"
armeltr01,Armel Traor̩,Small Forward,Right,6-9,246,23,January,2003,,,,,,"November 16, 2024"
armstbj01,B.J. Armstrong,Point Guard,Right,6-2,175,9,September,1967,Iowa,1989 NBA Draft,Chicago Bulls,"1st round (18th pick, 18th overall)",,"November 3, 1989"
arnzebo01,Bob Arnzen,Small Forward,Right,6-5,205,3,November,1947,Notre Dame,1969 NBA Draft,Detroit Pistons,"8th round (4th pick, 103rd overall)",,"October 14, 1970"
artesro01,Metta World Peace,Small Forward,Right,6-7,260,13,November,1979,St. John's,1999 NBA Draft,Chicago Bulls,"1st round (16th pick, 16th overall)",,"November 3, 1999"
atkinch01,Chucky Atkins,"Point Guard, Shooting Guard",Right,5-11,160,14,August,1974,South Florida,,,,,"November 2, 1999"
augusdj01,D.J. Augustin,Point Guard,Right,5-11,183,10,November,1987,Texas,2008 NBA Draft,Charlotte Bobcats,"1st round (9th pick, 9th overall)",,"October 30, 2008"
avdijde01,Deni Avdija,Small Forward,Right,6-8,228,3,January,2001,,2020 NBA Draft,Washington Wizards,"1st round (9th pick, 9th overall)",6.0,"December 23, 2020"
averibi01,Bird Averitt,Shooting Guard,Left,6-1,170,22,July,1952,Pepperdine,1973 NBA Draft,Portland Trail Blazers,"4th round (3rd pick, 55th overall)",,"October 21, 1976"
