player_id,player_name,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage,Career Player Efficiency Rating,Career Win Shares
kerseje01,Jerome Kersey,,1153,10.3,5.5,1.9,46.5,20.1,69.0,46.7,14.9,69.5
kerwito01,Tom Kerwin,,13,1.1,1.5,0.1,31.8,,0.0,31.8,5.3,-0.1
kesslwa01,Walker Kessler,4.0,201,9.5,9.3,1.2,68.1,26.6,54.5,68.8,19.9,17.1
keybr01,Braxton Key,4.0,37,2.9,1.9,0.5,43.6,29.6,62.1,47.9,14.0,0.4
kiddgmi01,Michael Kidd-Gilchrist,,446,8.4,5.4,1.2,47.4,27.2,71.5,47.8,13.4,21.0
kiddja01,Jason Kidd,,1391,12.6,6.3,8.7,40.0,34.9,78.5,46.4,17.9,138.6
kiddst01,Stanton Kidd,,4,0.0,0.8,0.3,0.0,0.0,,0.0,-13.7,-0.1
kimbrst01,Stan Kimbrough,,13,1.6,0.5,0.5,40.9,50.0,100.0,43.2,11.2,0.1
kingge01,George King,,411,10.3,3.9,4.8,38.2,,64.2,,14.2,31.4
kingge02,Gerard King,,126,4.5,3.1,0.7,50.3,,74.4,50.3,12.1,3.0
kingge03,George King,2.0,5,0.2,1.2,0.0,0.0,0.0,50.0,0.0,-8.9,-0.1
kinglo02,Louis King,,27,4.8,1.6,0.9,41.7,35.1,65.0,50.4,13.0,0.4
kingma01,Maurice King,,38,5.9,2.8,3.8,39.8,,80.0,,8.5,0.0
kingst01,Stacey King,,438,6.4,3.3,0.9,47.8,23.5,70.7,47.9,11.9,10.9
kispeco01,Corey Kispert,5.0,350,10.7,2.7,1.5,47.3,38.0,80.3,59.0,11.8,11.1
kitegr01,Greg Kite,,680,2.5,3.8,0.5,43.8,16.7,48.6,43.8,6.5,5.6
klebima01,Maxi Kleber,9.0,483,6.0,4.2,1.1,44.4,35.2,76.3,55.0,11.2,20.7
kleinjo01,Joe Kleine,,965,4.8,4.1,0.6,45.3,27.1,79.4,45.4,10.5,19.1
klintbo01,Bobi Klintman,2.0,20,1.9,1.3,0.7,40.5,33.3,20.0,48.6,8.7,0.1
klotzhe01,Red Klotz,,11,1.4,,0.6,22.6,,33.3,,,-0.1
knechda01,Dalton Knecht,2.0,132,7.1,2.2,0.7,46.0,36.8,75.5,57.1,12.0,3.1
knighbr03,Brandon Knight,,451,14.0,3.1,3.9,41.1,35.2,80.7,47.6,13.7,11.6
knighna01,Nathan Knight,,108,3.7,2.0,0.4,47.6,26.5,73.8,50.9,15.6,2.1
knightr01,Travis Knight,,371,3.4,3.1,0.6,43.8,25.9,69.6,44.4,11.4,7.9
knoxke01,Kevin Knox,7.0,320,7.3,2.8,0.7,39.3,34.0,72.3,47.4,9.4,0.9
knuepko01,Kon Knueppel,1.0,81,18.5,5.3,3.4,47.5,42.5,86.3,60.1,17.1,8.0
kolekty01,Tyler Kolek,2.0,103,3.4,1.2,2.3,40.9,36.0,73.0,49.7,11.9,1.8
kolokch01,Christian Koloko,3.0,122,2.8,2.8,0.5,49.3,8.0,64.8,49.7,11.1,2.9
konanya01,Yanic Konan NiederhÃ¤user,1.0,41,4.3,2.9,0.3,64.0,20.0,75.8,64.5,16.4,1.3
konchjo01,John Konchar,7.0,363,4.3,4.0,1.5,46.9,34.9,72.7,56.0,12.7,16.2
korkmfu01,Furkan Korkmaz,,328,6.8,2.0,1.2,40.6,35.6,76.1,51.1,11.2,7.6
kornelu01,Luke Kornet,9.0,421,5.4,3.9,1.2,55.3,32.1,78.6,59.8,17.1,26.3
korveky01,Kyle Korver,,1232,9.7,3.0,1.7,44.2,42.9,87.7,57.4,12.8,73.4
koufoko01,Kosta Koufos,,686,5.7,5.0,0.5,53.4,0.0,58.2,53.4,15.4,28.3
krejcvi01,VÃ­t KrejÄÃ­,5.0,203,6.5,2.4,1.8,45.8,39.3,75.4,59.5,10.6,6.9
kreklwa01,Wayne Kreklow,,25,1.2,0.5,0.4,23.4,25.0,70.0,24.5,-1.9,-0.3
